target,Var1_binary,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30
0.0,0,2,1,7800,99,1,108.73,0.0,5640,0.0,5,0.0,20.465753424657535,2,0,0,3272.31,1.0,,1,1,1,1,0,3,1,0,0,0,0
0.0,0,1,2,11100,78,1,195.99,11200.0,3000,0.0,2,0.0,28.665753424657535,3,3,4,1387.35,-1.0,1.0,0,0,0,0,2,3,1,0,0,0,0
0.0,1,3,1,2400,15,1,248.34,0.0,6240,4300.0,5,5.0,36.035616438356165,1,0,0,4703.28,-1.0,,1,2,2,2,0,3,1,0,0,1,0
0.0,1,1,2,11800,30,6,3538.68,12400.0,4560,2500.0,6,5.0,37.45205479452055,1,0,0,2508.7,-1.0,0.0,0,0,0,0,0,2,2,0,0,1,0
0.0,0,2,1,7200,36,1,267.19,0.0,3960,0.0,5,0.0,20.77260273972603,0,1,1,2034.22,0.0,,0,1,2,2,0,2,0,0,0,1,0
0.0,0,1,1,15300,33,1,632.32,23000.0,4920,0.0,6,0.0,31.5972602739726,1,0,1,1935.09,-1.0,1.0,0,0,0,0,0,3,2,0,0,1,0
0.0,1,1,1,7900,24,1,470.54,9900.0,3360,2700.0,4,5.0,34.31506849315068,1,2,2,2459.02,-1.0,1.0,0,1,1,1,0,2,0,0,0,1,0
0.0,0,1,1,9400,66,1,197.92,11400.0,5280,0.0,5,0.0,19.476712328767125,3,1,1,3054.55,-1.0,0.0,1,1,1,1,0,2,1,0,0,0,0
0.0,1,2,1,11400,36,1,446.01,0.0,4080,3100.0,5,2.0,19.83013698630137,3,0,0,3663.94,1.0,,0,2,2,2,0,2,2,0,0,1,0
0.0,1,1,1,10400,39,1,368.08,12000.0,2760,4400.0,5,5.0,18.153424657534245,0,2,2,3083.52,-1.0,1.0,1,1,1,3,0,2,2,0,0,1,0
0.0,1,1,2,12900,39,1,460.1,14200.0,4560,2600.0,2,5.0,25.301369863013697,1,1,1,3571.96,-1.0,0.0,0,1,1,1,0,0,0,0,0,1,0
0.0,0,1,2,10600,60,1,246.76,12100.0,3600,0.0,5,0.0,32.865753424657534,1,0,0,1526.86,-1.0,0.0,0,0,1,1,3,2,0,0,0,0,0
0.0,0,2,2,7200,15,1,805.05,0.0,6960,0.0,5,0.0,37.59452054794521,3,1,1,2618.89,0.0,,0,2,2,2,0,2,2,0,0,0,0
0.0,0,3,1,3500,9,1,786.54,0.0,8640,0.0,4,0.0,17.54794520547945,3,0,0,3659.77,-1.0,,0,0,0,0,0,3,2,0,0,1,0
0.0,1,1,1,11100,42,6,2179.02,12400.0,4320,3300.0,5,5.0,22.567123287671233,3,2,3,3501.34,-1.0,0.0,0,2,3,5,0,3,0,0,0,0,0
0.0,0,2,2,10400,36,6,2621.82,0.0,3000,0.0,5,0.0,23.279452054794522,1,0,0,1627.68,1.0,,0,0,0,0,2,0,0,0,0,1,0
0.0,0,2,2,11100,51,3,873.69,0.0,2640,0.0,3,0.0,23.167123287671235,0,0,0,1295.4,1.0,,0,0,0,1,0,0,0,0,0,1,0
0.0,0,3,1,3200,18,3,862.11,0.0,3120,0.0,5,0.0,34.62739726027397,3,1,1,1726.51,-1.0,,0,4,4,4,0,2,2,0,0,0,0
0.0,0,3,1,3500,18,1,308.45,0.0,2880,0.0,5,0.0,27.23835616438356,0,0,0,1707.14,-1.0,,0,0,1,1,0,1,0,0,0,1,0
0.0,0,1,1,12200,30,1,598.0,20100.0,3960,0.0,6,0.0,15.416438356164383,3,2,3,2209.51,-1.0,1.0,0,2,2,4,0,0,0,0,0,1,0
0.0,0,3,1,3300,27,1,167.33,0.0,3720,0.0,5,0.0,32.18630136986302,3,0,2,2010.16,-1.0,,1,1,1,2,0,1,1,0,0,0,0
0.0,0,3,1,3100,9,1,679.74,0.0,4920,0.0,5,0.0,33.68219178082192,2,0,2,2868.96,-1.0,,0,0,0,0,0,2,0,0,0,0,0
0.0,0,2,1,10700,33,1,447.76,0.0,6240,0.0,5,0.0,23.55068493150685,2,0,0,2601.84,1.0,,1,1,1,1,0,3,0,0,0,0,0
0.0,0,1,1,14600,75,3,786.54,18500.0,2880,0.0,5,0.0,26.301369863013697,0,2,2,1309.52,-1.0,1.0,0,0,0,0,2,3,1,0,0,0,0
0.0,0,3,2,3100,12,1,443.39,0.0,5520,0.0,5,0.0,16.764383561643836,0,3,4,2628.92,-1.0,,0,1,1,1,0,3,2,0,0,0,0
0.0,0,1,1,11700,18,1,1072.37,13000.0,6720,0.0,5,0.0,33.38630136986301,0,0,0,3952.36,-1.0,0.0,1,2,2,2,0,3,3,0,0,1,0
0.0,1,1,1,12400,57,1,290.04,15900.0,4080,5100.0,5,4.0,18.991780821917807,1,1,1,4049.43,-1.0,1.0,0,0,1,1,3,3,1,0,0,0,0
0.0,0,1,1,15300,69,1,300.74,16000.0,4680,0.0,5,0.0,16.745205479452054,0,1,1,2757.12,-1.0,1.0,0,0,0,0,3,0,0,0,0,1,0
0.0,1,2,1,8400,24,1,534.16,0.0,5400,2100.0,5,5.0,22.947945205479453,1,0,0,3024.19,0.0,,0,0,0,1,0,3,2,0,0,2,0
0.0,1,2,1,9400,54,1,235.0,0.0,6240,3300.0,6,5.0,27.095890410958905,2,1,1,4654.17,1.0,,3,5,5,5,3,2,0,0,0,0,0
0.0,0,1,1,15700,36,6,3585.72,21500.0,3600,0.0,1,0.0,21.473972602739725,0,0,2,1458.97,-1.0,0.0,0,0,2,3,0,2,0,0,0,1,0
0.0,0,1,2,10400,27,1,581.17,19200.0,4080,0.0,6,0.0,38.131506849315066,3,2,3,2122.44,-1.0,0.0,0,1,1,1,0,2,2,0,0,1,0
0.0,0,2,2,7000,24,1,431.83,0.0,4200,0.0,5,0.0,25.50958904109589,3,2,2,1691.74,1.0,,0,1,1,1,0,2,2,0,1,0,0
0.0,0,1,2,10800,12,1,1293.43,15700.0,8160,0.0,5,0.0,36.054794520547944,1,0,0,4091.26,-1.0,1.0,0,0,0,1,0,2,3,0,0,0,0
0.0,0,2,2,8000,12,3,3358.23,0.0,7800,0.0,5,0.0,27.454794520547946,0,0,0,2636.86,1.0,,0,0,1,1,0,3,2,0,0,0,0
0.0,0,2,1,10900,69,1,218.48,0.0,3000,0.0,5,0.0,31.126027397260273,1,1,1,1260.63,1.0,,0,0,1,1,0,2,0,0,0,1,0
0.0,0,1,1,10200,33,1,426.43,18400.0,5040,0.0,6,0.0,38.16164383561644,1,3,4,2689.55,-1.0,1.0,0,1,1,1,0,2,0,0,0,0,0
0.0,0,1,1,11200,27,1,605.59,12700.0,4560,0.0,5,0.0,27.394520547945206,2,1,1,1580.08,-1.0,1.0,3,3,3,3,3,2,0,0,0,0,0
0.0,0,1,2,12400,42,3,1219.92,17500.0,3360,0.0,5,0.0,31.16986301369863,0,0,0,1666.96,-1.0,0.0,0,2,2,4,0,0,1,0,0,0,0
